Modo privado,Comuna de origen,Comuna de destino,Distancia,Ingreso per cápita
0,MAIPU,LAS CONDES,18.84,158.47
0,LAS CONDES,MAIPU,18.84,158.47
0,MAIPU,ÑUÑOA,13.39,158.47
0,ÑUÑOA,MAIPU,13.39,158.47
1,MAIPU,MAIPU,1.39,226.51
0,MAIPU,PUDAHUEL,10.89,226.51
1,PUDAHUEL,MAIPU,10.89,226.51
1,MAIPU,SANTIAGO,11.79,308.43
0,SANTIAGO,MAIPU,11.78,308.43
0,MAIPU,SANTIAGO,13.53,379.63
0,SANTIAGO,MAIPU,13.55,379.63
0,PROVIDENCIA,BUIN,39.11,206.51
0,BUIN,BUIN,0.78,91.39
0,BUIN,BUIN,0.78,91.39
0,BUIN,BUIN,1.45,203.87
1,BUIN,ISLA DE MAIPO,14.99,203.87
1,ISLA DE MAIPO,BUIN,14.92,203.87
0,BUIN,BUIN,1.74,203.87
0,BUIN,BUIN,1.98,203.87
0,BUIN,BUIN,6.72,111.85
0,BUIN,BUIN,6.72,111.85
0,BUIN,SANTIAGO,32.41,236.77
0,SANTIAGO,BUIN,32.41,236.77
0,BUIN,BUIN,1.17,138.35
1,BUIN,BUIN,0.40,231.23
1,BUIN,BUIN,0.40,231.23
1,BUIN,BUIN,0.68,231.23
1,BUIN,BUIN,0.68,231.23
0,BUIN,BUIN,3.62,222.42
0,BUIN,BUIN,3.62,222.42
0,BUIN,SANTIAGO,36.93,222.42
0,BUIN,BUIN,3.20,222.42
0,BUIN,BUIN,3.90,385.97
0,BUIN,BUIN,3.90,385.97
0,BUIN,,9.94,385.97
0,,BUIN,9.94,385.97
0,BUIN,PROVIDENCIA,39.11,206.51
0,BUIN,BUIN,3.10,160.78
0,BUIN,BUIN,3.10,160.78
0,BUIN,BUIN,3.10,160.78
0,BUIN,BUIN,3.10,160.78
0,BUIN,BUIN,2.43,81.96
0,BUIN,BUIN,2.43,81.96
0,BUIN,BUIN,2.75,116.24
0,BUIN,BUIN,0.98,116.24
0,BUIN,BUIN,0.59,99.51
0,BUIN,BUIN,0.59,99.51
1,,BUIN,9.93,232.18
0,BUIN,BUIN,3.57,130.96
0,BUIN,BUIN,3.57,130.96
0,BUIN,BUIN,6.22,130.96
0,BUIN,BUIN,6.22,130.96
1,BUIN,LA CISTERNA,23.78,401.24
1,LA CISTERNA,BUIN,23.78,401.24
0,BUIN,,207.60,55.14
1,BUIN,BUIN,2.49,206.65
1,BUIN,BUIN,2.49,206.65
1,BUIN,BUIN,1.66,243.46
1,BUIN,BUIN,1.66,243.46
1,BUIN,BUIN,1.66,243.46
1,BUIN,BUIN,1.66,243.46
1,BUIN,BUIN,1.66,243.46
1,BUIN,BUIN,1.66,243.46
0,BUIN,BUIN,2.47,149.45
0,BUIN,BUIN,2.47,149.45
0,BUIN,BUIN,2.45,149.45
0,BUIN,BUIN,2.45,149.45
0,BUIN,,9.88,192.16
1,BUIN,,9.34,91.62
1,,BUIN,9.34,91.62
0,BUIN,BUIN,0.96,100.94
0,BUIN,BUIN,0.96,100.94
0,BUIN,SANTIAGO,33.15,258.79
0,SANTIAGO,BUIN,33.15,258.79
0,BUIN,SANTIAGO,30.65,258.79
0,SANTIAGO,BUIN,30.65,258.79
0,BUIN,BUIN,2.36,258.79
0,BUIN,BUIN,2.36,258.79
1,BUIN,,8.14,402.76
1,,BUIN,8.14,402.76
0,BUIN,SANTIAGO,33.69,402.76
0,SANTIAGO,BUIN,33.69,402.76
0,BUIN,ESTACION CENTRAL,32.14,402.76
0,ESTACION CENTRAL,BUIN,32.14,402.76
0,BUIN,PROVIDENCIA,34.47,201.20
0,PROVIDENCIA,BUIN,34.47,201.20
0,BUIN,BUIN,1.37,201.20
0,BUIN,BUIN,1.37,201.20
1,BUIN,BUIN,1.29,51.47
1,BUIN,BUIN,1.29,51.47
1,BUIN,SAN MIGUEL,23.66,480.37
1,SAN MIGUEL,BUIN,23.66,480.37
1,BUIN,BUIN,2.73,38.47
1,BUIN,BUIN,2.73,38.47
0,BUIN,SAN BERNARDO,16.52,71.67
0,SAN BERNARDO,BUIN,16.53,71.67
1,BUIN,,11.04,110.17
1,,BUIN,11.04,110.17
1,BUIN,,11.04,110.17
1,,BUIN,11.04,110.17
1,BUIN,BUIN,1.67,217.10
1,BUIN,BUIN,1.67,217.10
0,BUIN,SANTIAGO,29.37,217.10
0,BUIN,SANTIAGO,32.25,638.40
0,BUIN,BUIN,2.02,171.16
0,BUIN,BUIN,2.02,171.16
0,BUIN,BUIN,3.30,180.74
0,BUIN,BUIN,3.30,180.74
0,BUIN,BUIN,3.30,180.74
0,BUIN,BUIN,3.30,180.74
0,BUIN,BUIN,3.30,180.74
0,BUIN,BUIN,3.30,180.74
0,BUIN,,9.63,166.43
0,BUIN,SAN MIGUEL,27.24,68.88
0,SAN MIGUEL,BUIN,27.23,68.88
1,BUIN,BUIN,2.93,266.49
1,BUIN,SAN BERNARDO,13.69,266.49
1,SAN BERNARDO,BUIN,16.55,266.49
0,BUIN,BUIN,1.22,102.00
1,BUIN,EL BOSQUE,16.96,114.10
1,EL BOSQUE,BUIN,16.96,114.10
1,SAN MIGUEL,SAN MIGUEL,1.76,446.57
1,SAN MIGUEL,BUIN,27.82,446.57
1,BUIN,SAN MIGUEL,29.46,446.57
0,SAN MIGUEL,BUIN,29.55,446.57
0,BUIN,BUIN,2.15,121.90
0,BUIN,BUIN,2.07,121.90
0,BUIN,BUIN,3.44,121.90
0,BUIN,BUIN,3.37,121.90
0,BUIN,BUIN,5.73,121.90
0,BUIN,BUIN,5.69,121.90
0,BUIN,BUIN,2.26,121.90
0,BUIN,BUIN,2.18,121.90
